seat,flight,N1_entry,N1_wait_r200_flight,N1_wait_r180_flight,N1_proc_r200_flight,N1_proc_r180_flight,N1_wait_r200_airline,N1_wait_r180_airline,N1_proc_r200_airline,N1_proc_r180_airline,N1_wait_r200_gha,N1_wait_r180_gha,N1_proc_r200_gha,N1_proc_r180_gha
247,AI 173,-131.0,557.0,493.0,429.333,365.0,2762.0,2477.0,2634.333,2349.0,2828.667,2537.0,2701.0,2409.0
256,AI 173,-130.0,569.333,504.0,442.667,377.0,2834.333,2542.0,2707.667,2415.0,2904.333,2605.0,2777.667,2478.0
219,AI 173,-130.0,566.0,501.0,439.333,374.0,2831.0,2539.0,2704.333,2412.0,2901.0,2602.0,2774.333,2475.0
86,AI 173,-130.0,559.333,495.0,432.667,368.0,2824.333,2533.0,2697.667,2406.0,2894.333,2596.0,2767.667,2469.0
130,AI 173,-130.0,562.667,498.0,436.0,371.0,2827.667,2536.0,2701.0,2409.0,2897.667,2599.0,2771.0,2472.0
25,AI 173,-129.0,571.667,506.0,446.0,380.0,2900.0,2601.0,2774.333,2475.0,2980.0,2673.0,2854.333,2547.0
84,AI 173,-129.0,575.0,509.0,449.333,383.0,2903.333,2604.0,2777.667,2478.0,2983.333,2676.0,2857.667,2550.0
89,AI 173,-129.0,578.333,512.0,452.667,386.0,2906.667,2607.0,2781.0,2481.0,2986.667,2679.0,2861.0,2553.0
16,AI 173,-128.0,580.667,514.0,456.0,389.0,2959.0,2654.0,2834.333,2529.0,3049.0,2735.0,2924.333,2610.0
128,AI 173,-128.0,584.0,517.0,459.333,392.0,2962.333,2657.0,2837.667,2532.0,3052.333,2738.0,2927.667,2613.0
31,AI 173,-127.0,589.667,522.0,466.0,398.0,3014.667,2704.0,2891.0,2580.0,3111.333,2791.0,2987.667,2667.0
278,AI 173,-127.0,593.0,525.0,469.333,401.0,3018.0,2707.0,2894.333,2583.0,3114.667,2794.0,2991.0,2670.0
29,AI 173,-127.0,586.333,519.0,462.667,395.0,3011.333,2701.0,2887.667,2577.0,3108.0,2788.0,2984.333,2664.0
70,AI 173,-126.0,595.333,527.0,472.667,404.0,3080.333,2763.0,2957.667,2640.0,3180.333,2853.0,3057.667,2730.0
239,AI 173,-125.0,607.667,538.0,486.0,416.0,3162.667,2837.0,3041.0,2715.0,3269.333,2933.0,3147.667,2811.0
248,AI 173,-125.0,611.0,541.0,489.333,419.0,3166.0,2840.0,3044.333,2718.0,3272.667,2936.0,3151.0,2814.0
234,AI 173,-125.0,604.333,535.0,482.667,413.0,3159.333,2834.0,3037.667,2712.0,3266.0,2930.0,3144.333,2808.0
53,AI 173,-125.0,597.667,529.0,476.0,407.0,3152.667,2828.0,3031.0,2706.0,3259.333,2924.0,3137.667,2802.0
153,AI 173,-125.0,601.0,532.0,479.333,410.0,3156.0,2831.0,3034.333,2709.0,3262.667,2927.0,3141.0,2805.0
93,AI 173,-124.0,613.333,543.0,492.667,422.0,3231.667,2899.0,3111.0,2778.0,3348.333,3004.0,3227.667,2883.0
156,AI 173,-124.0,616.667,546.0,496.0,425.0,3235.0,2902.0,3114.333,2781.0,3351.667,3007.0,3231.0,2886.0
229,AI 173,-124.0,620.0,549.0,499.333,428.0,3238.333,2905.0,3117.667,2784.0,3355.0,3010.0,3234.333,2889.0
258,AI 173,-124.0,623.333,552.0,502.667,431.0,3241.667,2908.0,3121.0,2787.0,3358.333,3013.0,3237.667,2892.0
46,AI 173,-123.0,625.667,554.0,506.0,434.0,3290.667,2952.0,3171.0,2832.0,3414.0,3063.0,3294.333,2943.0
231,AI 173,-123.0,629.0,557.0,509.333,437.0,3294.0,2955.0,3174.333,2835.0,3417.333,3066.0,3297.667,2946.0
137,AI 173,-122.0,631.333,559.0,512.667,440.0,3373.0,3026.0,3254.333,2907.0,3503.0,3143.0,3384.333,3024.0
170,AI 173,-122.0,634.667,562.0,516.0,443.0,3376.333,3029.0,3257.667,2910.0,3506.333,3146.0,3387.667,3027.0
217,AI 173,-122.0,638.0,565.0,519.333,446.0,3379.667,3032.0,3261.0,2913.0,3509.667,3149.0,3391.0,3030.0
241,AI 173,-121.0,650.333,576.0,532.667,458.0,3462.0,3106.0,3344.333,2988.0,3595.333,3226.0,3477.667,3108.0
104,AI 173,-121.0,643.667,570.0,526.0,452.0,3455.333,3100.0,3337.667,2982.0,3588.667,3220.0,3471.0,3102.0
85,AI 173,-121.0,640.333,567.0,522.667,449.0,3452.0,3097.0,3334.333,2979.0,3585.333,3217.0,3467.667,3099.0
172,AI 173,-121.0,647.0,573.0,529.333,455.0,3458.667,3103.0,3341.0,2985.0,3592.0,3223.0,3474.333,3105.0
164,AI 173,-120.0,656.0,581.0,539.333,464.0,3541.0,3177.0,3424.333,3060.0,3681.0,3303.0,3564.333,3186.0
189,AI 173,-120.0,659.333,584.0,542.667,467.0,3544.333,3180.0,3427.667,3063.0,3684.333,3306.0,3567.667,3189.0
57,AI 173,-120.0,652.667,578.0,536.0,461.0,3537.667,3174.0,3421.0,3057.0,3677.667,3300.0,3561.0,3183.0
182,AI 173,-119.0,661.667,586.0,546.0,470.0,3650.0,3275.0,3534.333,3159.0,3803.333,3413.0,3687.667,3297.0
197,AI 173,-118.0,674.0,597.0,559.333,482.0,3745.667,3361.0,3631.0,3246.0,3899.0,3499.0,3784.333,3384.0
19,AI 173,-118.0,664.0,588.0,549.333,473.0,3735.667,3352.0,3621.0,3237.0,3889.0,3490.0,3774.333,3375.0
122,AI 173,-118.0,667.333,591.0,552.667,476.0,3739.0,3355.0,3624.333,3240.0,3892.333,3493.0,3777.667,3378.0
171,AI 173,-118.0,670.667,594.0,556.0,479.0,3742.333,3358.0,3627.667,3243.0,3895.667,3496.0,3781.0,3381.0
261,AI 173,-117.0,683.0,605.0,569.333,491.0,3821.333,3429.0,3707.667,3315.0,3991.333,3582.0,3877.667,3468.0
135,AI 173,-117.0,676.333,599.0,562.667,485.0,3814.667,3423.0,3701.0,3309.0,3984.667,3576.0,3871.0,3462.0
206,AI 173,-117.0,679.667,602.0,566.0,488.0,3818.0,3426.0,3704.333,3312.0,3988.0,3579.0,3874.333,3465.0
161,AI 173,-116.0,685.333,607.0,572.667,494.0,3880.333,3482.0,3767.667,3369.0,4063.667,3647.0,3951.0,3534.0
275,AI 173,-116.0,688.667,610.0,576.0,497.0,3883.667,3485.0,3771.0,3372.0,4067.0,3650.0,3954.333,3537.0
17,AI 173,-115.0,691.0,612.0,579.333,500.0,3969.333,3562.0,3857.667,3450.0,4176.0,3748.0,4064.333,3636.0
127,AI 173,-115.0,694.333,615.0,582.667,503.0,3972.667,3565.0,3861.0,3453.0,4179.333,3751.0,4067.667,3639.0
264,AI 173,-114.0,696.667,617.0,586.0,506.0,4071.667,3654.0,3961.0,3543.0,4291.667,3852.0,4181.0,3741.0
228,AI 173,-113.0,709.0,628.0,599.333,518.0,4137.333,3713.0,4027.667,3603.0,4367.333,3920.0,4257.667,3810.0
183,AI 173,-113.0,705.667,625.0,596.0,515.0,4134.0,3710.0,4024.333,3600.0,4364.0,3917.0,4254.333,3807.0
34,AI 173,-113.0,699.0,619.0,589.333,509.0,4127.333,3704.0,4017.667,3594.0,4357.333,3911.0,4247.667,3801.0
133,AI 173,-113.0,702.333,622.0,592.667,512.0,4130.667,3707.0,4021.0,3597.0,4360.667,3914.0,4251.0,3804.0
63,AI 173,-112.0,711.333,630.0,602.667,521.0,4209.667,3778.0,4101.0,3669.0,4446.333,3991.0,4337.667,3882.0
200,AI 173,-111.0,713.667,632.0,606.0,524.0,4275.333,3837.0,4167.667,3729.0,4528.667,4065.0,4421.0,3957.0
27,AI 173,-110.0,716.0,634.0,609.333,527.0,4354.333,3908.0,4247.667,3801.0,4621.0,4148.0,4514.333,4041.0
118,AI 173,-110.0,719.333,637.0,612.667,530.0,4357.667,3911.0,4251.0,3804.0,4624.333,4151.0,4517.667,4044.0
159,AI 173,-109.0,725.0,642.0,619.333,536.0,4446.667,3991.0,4341.0,3885.0,4723.333,4240.0,4617.667,4134.0
64,AI 173,-109.0,721.667,639.0,616.0,533.0,4443.333,3988.0,4337.667,3882.0,4720.0,4237.0,4614.333,4131.0
245,AI 173,-109.0,728.333,645.0,622.667,539.0,4450.0,3994.0,4344.333,3888.0,4726.667,4243.0,4621.0,4137.0
284,AI 173,-108.0,747.333,662.0,642.667,557.0,4559.0,4092.0,4454.333,3987.0,4849.0,4353.0,4744.333,4248.0
140,AI 173,-108.0,734.0,650.0,629.333,545.0,4545.667,4080.0,4441.0,3975.0,4835.667,4341.0,4731.0,4236.0
147,AI 173,-108.0,737.333,653.0,632.667,548.0,4549.0,4083.0,4444.333,3978.0,4839.0,4344.0,4734.333,4239.0
266,AI 173,-108.0,744.0,659.0,639.333,554.0,4555.667,4089.0,4451.0,3984.0,4845.667,4350.0,4741.0,4245.0
36,AI 173,-108.0,730.667,647.0,626.0,542.0,4542.333,4077.0,4437.667,3972.0,4832.333,4338.0,4727.667,4233.0
194,AI 173,-108.0,740.667,656.0,636.0,551.0,4552.333,4086.0,4447.667,3981.0,4842.333,4347.0,4737.667,4242.0
251,AI 173,-107.0,749.667,664.0,646.0,560.0,4631.333,4157.0,4527.667,4053.0,4928.0,4424.0,4824.333,4320.0
39,AI 173,-105.0,751.0,665.0,649.333,563.0,4796.0,4305.0,4694.333,4203.0,5126.0,4602.0,5024.333,4500.0
148,AI 173,-105.0,754.333,668.0,652.667,566.0,4799.333,4308.0,4697.667,4206.0,5129.333,4605.0,5027.667,4503.0
205,AI 173,-104.0,756.667,670.0,656.0,569.0,4858.333,4361.0,4757.667,4260.0,5201.667,4670.0,5101.0,4569.0
20,AI 173,-103.0,759.0,672.0,659.333,572.0,4947.333,4441.0,4847.667,4341.0,5290.667,4750.0,5191.0,4650.0
124,AI 173,-103.0,765.667,678.0,666.0,578.0,4954.0,4447.0,4854.333,4347.0,5297.333,4756.0,5197.667,4656.0
101,AI 173,-103.0,762.333,675.0,662.667,575.0,4950.667,4444.0,4851.0,4344.0,5294.0,4753.0,5194.333,4653.0
24,AI 173,-102.0,768.0,680.0,669.333,581.0,5026.333,4512.0,4927.667,4413.0,5393.0,4842.0,5294.333,4743.0
268,AI 173,-102.0,771.333,683.0,672.667,584.0,5029.667,4515.0,4931.0,4416.0,5396.333,4845.0,5297.667,4746.0
272,AI 173,-102.0,774.667,686.0,676.0,587.0,5033.0,4518.0,4934.333,4419.0,5399.667,4848.0,5301.0,4749.0
45,AI 173,-101.0,777.0,688.0,679.333,590.0,5145.333,4619.0,5047.667,4521.0,5528.667,4964.0,5431.0,4866.0
96,AI 173,-101.0,780.333,691.0,682.667,593.0,5148.667,4622.0,5051.0,4524.0,5532.0,4967.0,5434.333,4869.0
190,AI 173,-100.0,782.667,693.0,686.0,596.0,5207.667,4675.0,5111.0,4578.0,5611.0,5038.0,5514.333,4941.0
255,AI 173,-99.0,785.0,695.0,689.333,599.0,5293.333,4752.0,5197.667,4656.0,5703.333,5121.0,5607.667,5025.0
131,AI 173,-98.0,787.333,697.0,692.667,602.0,5329.0,4784.0,5234.333,4689.0,5749.0,5162.0,5654.333,5067.0
224,AI 173,-97.0,793.0,702.0,699.333,608.0,5394.667,4843.0,5301.0,4749.0,5831.333,5236.0,5737.667,5142.0
143,AI 173,-97.0,789.667,699.0,696.0,605.0,5391.333,4840.0,5297.667,4746.0,5828.0,5233.0,5734.333,5139.0
15,AI 173,-93.0,792.333,701.0,702.667,611.0,5660.667,5082.0,5571.0,4992.0,6177.333,5547.0,6087.667,5457.0
50,AI 173,-92.0,794.667,703.0,706.0,614.0,5736.333,5150.0,5647.667,5061.0,6289.667,5648.0,6201.0,5559.0
222,AI 173,-89.0,795.0,703.0,709.333,617.0,5943.333,5336.0,5857.667,5250.0,6540.0,5873.0,6454.333,5787.0
14,AI 173,-88.0,797.333,705.0,712.667,620.0,5989.0,5377.0,5904.333,5292.0,6602.333,5929.0,6517.667,5844.0
111,AI 173,-87.0,799.667,707.0,716.0,623.0,6078.0,5457.0,5994.333,5373.0,6711.333,6027.0,6627.667,5943.0
38,AI 173,-86.0,802.0,709.0,719.333,626.0,6120.333,5495.0,6037.667,5412.0,6773.667,6083.0,6691.0,6000.0
286,AI 173,-86.0,805.333,712.0,722.667,629.0,6123.667,5498.0,6041.0,5415.0,6777.0,6086.0,6694.333,6003.0
80,AI 173,-85.0,807.667,714.0,726.0,632.0,6172.667,5542.0,6091.0,5460.0,6862.667,6163.0,6781.0,6081.0
237,AI 173,-84.0,810.0,716.0,729.333,635.0,6228.333,5592.0,6147.667,5511.0,6931.667,6225.0,6851.0,6144.0
75,AI 173,-66.0,795.333,701.0,732.667,638.0,7197.0,6462.0,7134.333,6399.0,8197.0,7362.0,8134.333,7299.0
263,AI 173,-48.0,780.667,686.0,736.0,641.0,8052.333,7230.0,8007.667,7185.0,9325.667,8376.0,9281.0,8331.0
