grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
gha,SL12,r180,40,4,124,165,78,121091
gha,SL13,r200,20,4,135,175,83,134123
gha,SL13,r180,20,4,122,158,75,121185
gha,SL13,r200,40,4,133,169,82,134363
gha,SL13,r180,40,4,120,152,73,121318
gha,SL14,r200,20,4,160,228,101,133682
gha,SL14,r180,20,4,144,206,91,120752
gha,SL14,r200,40,4,152,211,95,133930
gha,SL14,r180,40,4,137,191,86,120870
gha,SL15,r200,20,4,159,236,103,133763
gha,SL15,r180,20,4,144,213,93,120816
gha,SL15,r200,40,4,150,214,95,133947
gha,SL15,r180,40,4,135,193,85,120898
gha,SL16,r200,20,4,131,175,86,134018
gha,SL16,r180,20,4,119,158,77,121089
gha,SL16,r200,40,4,128,169,83,134258
gha,SL16,r180,40,4,115,152,75,121187
gha,SL17,r200,20,4,207,297,133,133603
gha,SL17,r180,20,4,186,267,119,120589
gha,SL17,r200,40,4,193,268,122,133694
gha,SL17,r180,40,4,173,242,110,120604
gha,SL18,r200,20,4,164,228,103,133758
gha,SL18,r180,20,4,148,206,93,120804
gha,SL18,r200,40,4,157,209,95,133942
gha,SL18,r180,40,4,142,188,85,120854
gha,SL19,r200,20,4,137,189,86,133928
gha,SL19,r180,20,4,123,171,78,120982
gha,SL19,r200,40,4,135,181,85,134134
gha,SL19,r180,40,4,121,163,76,121034
gha,SL20,r200,20,4,136,179,89,134076
gha,SL20,r180,20,4,122,161,80,121139
gha,SL20,r200,40,4,129,170,83,134340
gha,SL20,r180,40,4,116,154,75,121276
gha,SL21,r200,20,4,204,298,130,133608
gha,SL21,r180,20,4,184,267,117,120606
gha,SL21,r200,40,4,193,271,123,133791
gha,SL21,r180,40,4,174,244,111,120672
gha,SL22,r200,20,4,141,199,90,133895
gha,SL22,r180,20,4,127,180,81,120900
gha,SL22,r200,40,4,139,192,88,134073
gha,SL22,r180,40,4,126,172,79,121017
gha,SL23,r200,20,4,205,297,132,133554
gha,SL23,r180,20,4,185,267,119,120583
gha,SL23,r200,40,4,190,266,120,133749
gha,SL23,r180,40,4,171,240,108,120683
gha,SL24,r200,20,4,168,232,106,133800
gha,SL24,r180,20,4,151,210,96,120837
gha,SL24,r200,40,4,155,216,100,134025
gha,SL24,r180,40,4,140,195,90,120957
gha,SL25,r200,20,4,141,200,95,133907
gha,SL25,r180,20,4,128,181,86,120977
gha,SL25,r200,40,4,140,190,90,134167
gha,SL25,r180,40,4,126,171,81,121098
gha,SL26,r200,20,4,130,174,83,134099
gha,SL26,r180,20,4,117,157,75,121142
gha,SL26,r200,40,4,129,168,82,134311
gha,SL26,r180,40,4,116,153,74,121238
gha,SL27,r200,20,4,161,226,100,133747
gha,SL27,r180,20,4,145,203,90,120786
gha,SL27,r200,40,4,153,216,95,133937
gha,SL27,r180,40,4,138,194,85,120870
gha,SL28,r200,20,4,173,237,110,133707
gha,SL28,r180,20,4,156,214,99,120758
gha,SL28,r200,40,4,164,218,101,133890
gha,SL28,r180,40,4,148,197,91,120798
gha,SL29,r200,20,4,132,179,82,134062
gha,SL29,r180,20,4,119,162,74,121129
gha,SL29,r200,40,4,131,172,81,134368
gha,SL29,r180,40,4,118,155,73,121298
gha,SL30,r200,20,4,211,309,135,133551
gha,SL30,r180,20,4,190,279,122,120565
gha,SL30,r200,40,4,196,273,125,133670
gha,SL30,r180,40,4,176,246,113,120598
gha,SL31,r200,20,4,163,229,104,133772
gha,SL31,r180,20,4,146,208,94,120776
gha,SL31,r200,40,4,156,215,97,133932
gha,SL31,r180,40,4,141,195,88,120879
gha,SL32,r200,20,4,140,201,93,133937
gha,SL32,r180,20,4,127,181,84,120974
gha,SL32,r200,40,4,138,190,89,134184
gha,SL32,r180,40,4,124,171,80,121102
gha,SL33,r200,20,4,138,187,89,134074
gha,SL33,r180,20,4,124,168,80,121202
gha,SL33,r200,40,4,133,175,84,134458
gha,SL33,r180,40,4,120,157,75,121370
