grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
flight,N1,r200,20,164,171,1958,23,146353
flight,N1,r180,20,164,159,1785,21,134965
flight,N1,r200,40,164,171,1762,22,150113
flight,N1,r180,40,164,156,1595,20,137845
flight,N2,r200,20,164,171,1965,25,146234
flight,N2,r180,20,164,156,1779,22,134698
flight,N2,r200,40,164,171,1773,23,149864
flight,N2,r180,40,164,155,1608,21,137639
flight,N3,r200,20,164,148,1142,14,158617
flight,N3,r180,20,164,139,1046,13,148511
flight,N3,r200,40,164,149,1021,13,165426
flight,N3,r180,40,164,138,931,11,153810
flight,N4,r200,20,164,217,3456,42,140012
flight,N4,r180,20,164,196,3122,38,127789
flight,N4,r200,40,164,202,2811,35,142553
flight,N4,r180,40,164,182,2543,31,129989
flight,N5,r200,20,164,176,1972,24,146195
flight,N5,r180,20,164,160,1791,21,134655
flight,N5,r200,40,164,172,1781,22,149718
flight,N5,r180,40,164,158,1609,20,137442
flight,N6,r200,20,164,155,1423,18,152562
flight,N6,r180,20,164,143,1299,17,141867
flight,N6,r200,40,164,155,1281,16,157855
flight,N6,r180,40,164,145,1172,15,145843
flight,N7,r200,20,164,146,1140,13,158767
flight,N7,r180,20,164,136,1044,12,148758
flight,N7,r200,40,164,150,1028,13,165138
flight,N7,r180,40,164,137,934,12,153551
flight,N8,r200,20,164,218,3443,42,139934
flight,N8,r180,20,164,197,3112,38,127600
flight,N8,r200,40,164,205,2814,35,142358
flight,N8,r180,40,164,187,2543,32,129687
flight,N9,r200,20,164,152,1425,17,152405
flight,N9,r180,20,164,140,1297,16,141651
flight,N9,r200,40,164,155,1287,16,157568
flight,N9,r180,40,164,142,1177,14,145708
flight,N10,r200,20,164,218,3459,44,139781
flight,N10,r180,20,164,199,3122,39,127526
flight,N10,r200,40,164,204,2815,36,142053
flight,N10,r180,40,164,187,2543,32,129478
flight,N11,r200,20,164,180,1986,25,146196
flight,N11,r180,20,164,163,1802,22,134698
flight,N11,r200,40,164,174,1780,22,149844
flight,N11,r180,40,164,159,1621,20,137492
flight,N12,r200,20,164,154,1416,17,152510
flight,N12,r180,20,164,143,1289,15,141742
flight,N12,r200,40,164,154,1281,15,157381
flight,N12,r180,40,164,143,1173,14,145528
flight,N13,r200,20,164,156,1144,15,158742
flight,N13,r180,20,164,142,1050,14,148583
flight,N13,r200,40,164,152,1038,14,165124
flight,N13,r180,40,164,141,938,13,153686
flight,U1,r200,20,164,152,891,10,149700
flight,U1,r180,20,164,137,826,9,138905
flight,U1,r200,40,164,152,793,9,153106
flight,U1,r180,40,164,138,720,8,141153
flight,EG0,r200,20,164,157,1662,21,149764
flight,EG0,r180,20,164,144,1511,19,139259
flight,EG0,r200,40,164,159,1456,18,153446
flight,EG0,r180,40,164,144,1320,16,141699
flight,EG1,r200,20,164,147,1189,15,149725
flight,EG1,r180,20,164,137,1086,13,139359
flight,EG1,r200,40,164,149,1049,13,153120
flight,EG1,r180,40,164,137,966,12,141581
flight,EG2,r200,20,164,149,1074,12,149791
flight,EG2,r180,20,164,137,980,11,138955
flight,EG2,r200,40,164,150,942,11,153061
flight,EG2,r180,40,164,137,863,10,141055
flight,EG3,r200,20,164,175,2691,35,149198
flight,EG3,r180,20,164,160,2437,31,137962
flight,EG3,r200,40,164,175,2170,29,153913
flight,EG3,r180,40,164,159,1966,26,141838
flight,EG4,r200,20,164,219,4183,55,142558
flight,EG4,r180,20,164,199,3778,50,130592
flight,EG4,r200,40,164,203,2915,38,146141
flight,EG4,r180,40,164,184,2640,34,133638
flight,EG5,r200,20,164,246,5730,76,138194
flight,EG5,r180,20,164,227,5174,68,125772
flight,EG5,r200,40,164,226,3324,42,140718
flight,EG5,r180,40,164,204,2993,38,127928
flight,ED0,r200,20,164,169,1668,21,149627
flight,ED0,r180,20,164,157,1516,19,139159
flight,ED0,r200,40,164,161,1449,19,152588
flight,ED0,r180,40,164,148,1321,17,140905
flight,ED1,r200,20,164,149,1195,15,149661
flight,ED1,r180,20,164,138,1090,13,139116
flight,ED1,r200,40,164,148,1058,13,152913
flight,ED1,r180,40,164,137,957,12,141132
flight,ED2,r200,20,164,147,1048,12,149637
flight,ED2,r180,20,164,137,964,11,139008
flight,ED2,r200,40,164,146,933,11,152646
flight,ED2,r180,40,164,134,843,10,140941
flight,ED3,r200,20,164,196,2685,32,148620
flight,ED3,r180,20,164,183,2427,29,137539
flight,ED3,r200,40,164,183,2176,27,152554
flight,ED3,r180,40,164,168,1964,25,140652
flight,ED4,r200,20,164,217,4192,53,141450
flight,ED4,r180,20,164,199,3790,48,129557
flight,ED4,r200,40,164,206,2907,37,143827
flight,ED4,r180,40,164,188,2629,33,131599
flight,ED5,r200,20,164,253,5729,70,136412
flight,ED5,r180,20,164,229,5171,63,124120
flight,ED5,r200,40,164,226,3317,41,137606
flight,ED5,r180,40,164,206,2992,37,125130
flight,SL1,r200,20,164,178,1994,23,146620
flight,SL1,r180,20,164,161,1812,21,135087
flight,SL1,r200,40,164,173,1802,23,150324
flight,SL1,r180,40,164,157,1637,21,137929
flight,SL2,r200,20,164,174,2031,23,146583
flight,SL2,r180,20,164,158,1856,21,135092
flight,SL2,r200,40,164,167,1815,22,150477
flight,SL2,r180,40,164,154,1649,20,138226
flight,SL3,r200,20,164,147,1187,14,158697
flight,SL3,r180,20,164,139,1079,12,148748
flight,SL3,r200,40,164,152,1064,12,165435
flight,SL3,r180,40,164,139,970,11,154050
flight,SL4,r200,20,164,212,3548,45,139854
flight,SL4,r180,20,164,193,3211,40,127693
flight,SL4,r200,40,164,204,2834,36,142375
flight,SL4,r180,40,164,186,2565,32,129769
flight,SL5,r200,20,164,172,2028,26,146452
flight,SL5,r180,20,164,157,1847,23,135006
flight,SL5,r200,40,164,164,1820,22,150337
flight,SL5,r180,40,164,153,1645,20,138119
flight,SL6,r200,20,164,151,1469,17,152546
flight,SL6,r180,20,164,143,1341,16,141956
flight,SL6,r200,40,164,155,1326,17,157873
flight,SL6,r180,40,164,143,1209,16,145986
flight,SL7,r200,20,164,153,1179,15,158837
flight,SL7,r180,20,164,143,1080,13,148766
flight,SL7,r200,40,164,156,1051,14,165161
flight,SL7,r180,40,164,143,959,12,153575
flight,SL8,r200,20,164,217,3539,44,139902
flight,SL8,r180,20,164,196,3201,40,127681
flight,SL8,r200,40,164,204,2845,35,142485
flight,SL8,r180,40,164,184,2570,31,129869
flight,SL9,r200,20,164,155,1453,18,152513
flight,SL9,r180,20,164,146,1326,16,141817
flight,SL9,r200,40,164,159,1325,17,157549
flight,SL9,r180,40,164,145,1206,15,145701
flight,SL10,r200,20,164,218,3563,43,139786
flight,SL10,r180,20,164,197,3217,39,127614
flight,SL10,r200,40,164,201,2837,35,142215
flight,SL10,r180,40,164,182,2569,32,129638
flight,SL11,r200,20,164,178,2024,26,146195
flight,SL11,r180,20,164,165,1835,23,134790
flight,SL11,r200,40,164,174,1811,24,150005
flight,SL11,r180,40,164,158,1640,22,137736
flight,SL12,r200,20,164,156,1464,17,152558
flight,SL12,r180,20,164,145,1336,16,141861
flight,SL12,r200,40,164,156,1328,16,157704
flight,SL12,r180,40,164,144,1203,15,145895
flight,SL13,r200,20,164,155,1187,13,158795
flight,SL13,r180,20,164,144,1080,11,148837
flight,SL13,r200,40,164,156,1062,12,165687
flight,SL13,r180,40,164,148,964,11,153993
flight,SL14,r200,20,164,169,2114,27,145875
flight,SL14,r180,20,164,153,1908,24,134327
flight,SL14,r200,40,164,165,1870,23,149486
flight,SL14,r180,40,164,152,1696,21,137225
flight,SL15,r200,20,164,169,2111,28,145733
flight,SL15,r180,20,164,155,1917,25,134341
flight,SL15,r200,40,164,164,1876,24,149376
flight,SL15,r180,40,164,149,1699,22,136963
flight,SL16,r200,20,164,154,1224,15,157585
flight,SL16,r180,20,164,142,1119,14,147409
flight,SL16,r200,40,164,154,1105,14,164119
flight,SL16,r180,40,164,142,1004,13,152526
flight,SL17,r200,20,164,214,3682,43,139617
flight,SL17,r180,20,164,193,3330,39,127311
flight,SL17,r200,40,164,201,2888,36,142021
flight,SL17,r180,40,164,182,2609,32,129348
flight,SL18,r200,20,164,174,2129,28,145863
flight,SL18,r180,20,164,159,1928,25,134378
flight,SL18,r200,40,164,170,1885,24,149613
flight,SL18,r180,40,164,154,1705,22,137352
flight,SL19,r200,20,164,154,1521,19,152021
flight,SL19,r180,20,164,142,1387,17,141141
flight,SL19,r200,40,164,157,1375,18,157443
flight,SL19,r180,40,164,144,1251,16,145409
flight,SL20,r200,20,164,155,1232,14,158009
flight,SL20,r180,20,164,144,1118,13,147900
flight,SL20,r200,40,164,154,1097,13,164523
flight,SL20,r180,40,164,142,1010,12,152842
flight,SL21,r200,20,164,214,3669,46,139690
flight,SL21,r180,20,164,192,3323,42,127408
flight,SL21,r200,40,164,201,2898,36,142276
flight,SL21,r180,40,164,182,2610,32,129673
flight,SL22,r200,20,164,155,1531,17,151877
flight,SL22,r180,20,164,145,1381,15,141060
flight,SL22,r200,40,164,160,1365,16,156902
flight,SL22,r180,40,164,149,1248,15,145047
flight,SL23,r200,20,164,212,3678,49,139744
flight,SL23,r180,20,164,193,3323,45,127439
flight,SL23,r200,40,164,197,2906,38,142363
flight,SL23,r180,40,164,181,2627,34,129655
flight,SL24,r200,20,164,180,2104,26,145776
flight,SL24,r180,20,164,164,1914,24,134276
flight,SL24,r200,40,164,174,1880,24,149650
flight,SL24,r180,40,164,158,1699,21,137305
flight,SL25,r200,20,164,157,1538,20,151536
flight,SL25,r180,20,164,145,1399,18,140616
flight,SL25,r200,40,164,162,1381,18,156549
flight,SL25,r180,40,164,147,1253,16,144620
flight,SL26,r200,20,164,152,1227,16,157611
flight,SL26,r180,20,164,141,1127,14,147379
flight,SL26,r200,40,164,152,1104,15,163542
flight,SL26,r180,40,164,143,1005,13,152063
flight,SL27,r200,20,164,172,2209,27,145493
flight,SL27,r180,20,164,157,1998,25,133934
flight,SL27,r200,40,164,164,1947,24,149057
flight,SL27,r180,40,164,151,1773,21,136807
flight,SL28,r200,20,164,184,2180,27,145359
flight,SL28,r180,20,164,168,1978,24,133776
flight,SL28,r200,40,164,179,1937,24,149052
flight,SL28,r180,40,164,164,1759,22,136695
