No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
40,21-06-2026,JL,JL 740,04:35,4,DEL-NRT,INTERNATIONAL,Terminal 3,BFS,206,165,50,66,50,00:35,01:35,02:35,high
41,21-06-2026,G9,G9 464,04:40,4,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168,134,40,54,40,00:40,01:40,02:40,high
42,21-06-2026,EY,EY 219,04:50,4,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,370,296,89,118,89,00:50,01:50,02:50,high
43,21-06-2026,GF,GF 131,04:55,4,DEL-BAH,INTERNATIONAL,Terminal 3,AISATS,166,133,40,53,40,00:55,01:55,02:55,high
44,21-06-2026,6E,6E 1633,05:00,5,DEL-HAN,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,01:00,02:00,03:00,high
45,21-06-2026,AI,AI 4305,05:05,5,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,01:05,02:05,03:05,high
46,21-06-2026,J2,J2 058,05:10,5,DEL-GYD,INTERNATIONAL,Terminal 3,Ramp 360,186,149,45,60,45,01:10,02:10,03:10,high
47,21-06-2026,6E,6E 1073,05:10,5,DEL-HKT,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,01:10,02:10,03:10,high
48,21-06-2026,UL,UL 192,05:15,5,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,200,160,48,64,48,01:15,02:15,03:15,high
49,21-06-2026,KU,KU 384,06:05,6,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235,188,56,75,56,02:05,03:05,04:05,high
50,21-06-2026,6E,6E 1721,06:15,6,DEL-HKG,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:15,03:15,04:15,high
51,21-06-2026,TK,TK 717,06:30,6,DEL-IST,INTERNATIONAL,Terminal 3,Ramp 360,400,320,96,128,96,02:30,03:30,04:30,high
