date,airline_code,flight_designator,sobt,hour,routing,traffic_type,public_terminal,gha,seats,pax,d4_pax,d3_pax,d2_pax,d4,d3,d2
2026-06-21,AI,AI 4305,05:05,5,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,01:05,02:05,03:05
2026-06-21,J2,J2 058,05:10,5,DEL-GYD,INTERNATIONAL,Terminal 3,Ramp 360,186,149,45,60,45,01:10,02:10,03:10
2026-06-21,6E,6E 1073,05:10,5,DEL-HKT,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,01:10,02:10,03:10
2026-06-21,UL,UL 192,05:15,5,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,200,160,48,64,48,01:15,02:15,03:15
2026-06-21,KU,KU 384,06:05,6,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235,188,56,75,56,02:05,03:05,04:05
2026-06-21,6E,6E 1721,06:15,6,DEL-HKG,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:15,03:15,04:15
2026-06-21,TK,TK 717,06:30,6,DEL-IST,INTERNATIONAL,Terminal 3,Ramp 360,400,320,96,128,96,02:30,03:30,04:30
2026-06-21,6E,6E 1611,06:40,6,DEL-BBI-DPS,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:40,03:40,04:40
2026-06-21,6E,6E 1063,06:50,6,DEL-BKK,INTERNATIONAL,Terminal 3,IndiGo,220,176,53,70,53,02:50,03:50,04:50
2026-06-21,6E,6E 1069,06:50,6,DEL-KBV,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:50,03:50,04:50
2026-06-21,AI,AI 213,07:00,7,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,186,149,45,60,45,03:00,04:00,05:00
2026-06-21,6E,6E 1901,07:30,7,DEL-ATH,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,03:30,04:30,05:30
2026-06-21,AY,AY 122,07:40,7,DEL-HEL,INTERNATIONAL,Terminal 3,IndiGo,195,156,47,62,47,03:40,04:40,05:40
2026-06-21,6E,6E 011,07:45,7,DEL-IST,INTERNATIONAL,Terminal 3,BFS,279,223,67,89,67,03:45,04:45,05:45
2026-06-21,J9,J9 410,07:45,7,DEL-KWI,INTERNATIONAL,Terminal 3,IndiGo,195,156,47,62,47,03:45,04:45,05:45
2026-06-21,SG,SG 5111,07:45,7,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,174,139,42,56,42,03:45,04:45,05:45
2026-06-21,SU,SU 233,07:50,7,DEL-SVO,INTERNATIONAL,Terminal 3,BFS,189,151,45,60,45,03:50,04:50,05:50
2026-06-21,LO,LO 072,08:00,8,DEL-WAW,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,04:00,05:00,06:00
2026-06-21,AI,AI 2355,08:25,8,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,252,202,61,81,61,04:25,05:25,06:25
2026-06-21,IX,IX 179,08:25,8,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,04:25,05:25,06:25
2026-06-21,6E,6E 1461,08:35,8,DEL-DXB,INTERNATIONAL,Terminal 3,IndiGo,180,144,43,58,43,04:35,05:35,06:35
2026-06-21,WY,WY 242,08:55,8,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,04:55,05:55,06:55
2026-06-21,SQ,SQ 401,09:00,9,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,162,130,39,52,39,05:00,06:00,07:00
2026-06-21,6E,6E 1013,09:05,9,DEL-SIN,INTERNATIONAL,Terminal 3,IndiGo,337,270,81,108,81,05:05,06:05,07:05
2026-06-21,EY,EY 213,09:25,9,DEL-AUH,INTERNATIONAL,Terminal 3,IndiGo,222,178,53,71,53,05:25,06:25,07:25
2026-06-21,W5,W5 070,09:30,9,DEL-IKA,INTERNATIONAL,Terminal 3,AISATS,158,126,38,50,38,05:30,06:30,07:30
2026-06-21,ET,ET 689,09:35,9,DEL-ADD,INTERNATIONAL,Terminal 3,AISATS,308,246,74,98,74,05:35,06:35,07:35
2026-06-21,AI,AI 917,09:50,9,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,315,252,76,101,76,05:50,06:50,07:50
2026-06-21,BA,BA 256,10:05,10,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,06:05,07:05,08:05
2026-06-21,QR,QR 571,10:25,10,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,204,163,49,65,49,06:25,07:25,08:25
2026-06-21,AI,AI 4209,10:35,10,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,254,203,61,81,61,06:35,07:35,08:35
2026-06-21,AI,AI 113,10:45,10,DEL-CDG,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,06:45,07:45,08:45
2026-06-21,6E,6E 003,10:50,10,DEL-BHX,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,06:50,07:50,08:50
2026-06-21,K9,K9 1602,10:50,10,DEL-KTM-PBH,INTERNATIONAL,Terminal 3,IndiGo,338,270,81,108,81,06:50,07:50,08:50
2026-06-21,AI,AI 2332,10:55,10,DEL-BSL,INTERNATIONAL,Terminal 3,BFS,126,101,30,40,30,06:55,07:55,08:55
2026-06-21,EK,EK 511,11:00,11,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,07:00,08:00,09:00
2026-06-21,AI,AI 237,11:10,11,DEL-DAC,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,07:10,08:10,09:10
2026-06-21,6E,6E 1153,11:10,11,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,07:10,08:10,09:10
2026-06-21,VS,VS 301,11:10,11,DEL-LHR,INTERNATIONAL,Terminal 3,IndiGo,360,288,86,115,86,07:10,08:10,09:10
2026-06-21,AI,AI 155,11:15,11,DEL-AMS,INTERNATIONAL,Terminal 3,BFS,397,318,95,127,95,07:15,08:15,09:15
2026-06-21,SV,SV 757,11:25,11,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,07:25,08:25,09:25
2026-06-21,KC,KC 908,11:25,11,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,445,356,107,142,107,07:25,08:25,09:25
2026-06-21,TG,TG 324,11:40,11,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,264,211,63,84,63,07:40,08:40,09:40
2026-06-21,MS,MS 974,12:00,12,DEL-CAI,INTERNATIONAL,Terminal 3,BFS,142,114,34,46,34,08:00,09:00,10:00
2026-06-21,AI,AI 2017,12:05,12,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316,253,76,101,76,08:05,09:05,10:05
2026-06-21,C6,C6 558,12:10,12,DEL-TAS,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,08:10,09:10,10:10
2026-06-21,AI,AI 151,12:15,12,DEL-ZRH,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:15,09:15,10:15
2026-06-21,AI,AI 157,12:15,12,DEL-CPH,INTERNATIONAL,Terminal 3,AISATS,256,205,62,82,62,08:15,09:15,10:15
2026-06-21,AI,AI 2029,12:20,12,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:20,09:20,10:20
2026-06-21,AI,AI 2362,12:25,12,DEL-MNL,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,08:25,09:25,10:25
2026-06-21,KB,KB 201,12:30,12,DEL-PBH,INTERNATIONAL,Terminal 3,BFS,118,94,28,38,28,08:30,09:30,10:30
2026-06-21,6E,6E 1103,12:35,12,DEL-DAC,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,08:35,09:35,10:35
2026-06-21,AI,AI 281,12:40,12,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182,146,44,58,44,08:40,09:40,10:40
2026-06-21,AI,AI 137,12:50,12,DEL-MXP,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:50,09:50,10:50
2026-06-21,AI,AI 2388,13:10,13,DEL-SGN,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,09:10,10:10,11:10
2026-06-21,AI,AI 2376,13:25,13,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,09:25,10:25,11:25
2026-06-21,6E,6E 1155,13:40,13,DEL-KTM,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,09:40,10:40,11:40
2026-06-21,AI,AI 2243,13:45,13,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,162,130,39,52,39,09:45,10:45,11:45
2026-06-21,SQ,SQ 405,14:20,14,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,388,310,93,124,93,10:20,11:20,12:20
2026-06-21,AI,AI 219,14:25,14,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,10:25,11:25,12:25
2026-06-21,6E,6E 1807,14:25,14,DEL-TBS,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,10:25,11:25,12:25
2026-06-21,AI,AI 2304,14:30,14,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,10:30,11:30,12:30
2026-06-21,FG,FG 312,15:00,15,DEL-KBL,INTERNATIONAL,Terminal 3,BFS,230,184,55,74,55,11:00,12:00,13:00
2026-06-21,RQ,RQ 4402,15:10,15,DEL-KBL,INTERNATIONAL,Terminal 3,AISATS,346,277,83,111,83,11:10,12:10,13:10
2026-06-21,AI,AI 4309,15:15,15,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,11:15,12:15,13:15
2026-06-21,6E,6E 1081,15:40,15,DEL-HKT,INTERNATIONAL,Terminal 3,IndiGo,259,207,62,83,62,11:40,12:40,13:40
2026-06-21,6E,6E 1053,15:45,15,DEL-BKK,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,11:45,12:45,13:45
2026-06-21,EY,EY 215,15:55,15,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,220,176,53,70,53,11:55,12:55,13:55
2026-06-21,6E,6E 1345,15:55,15,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,158,126,38,50,38,11:55,12:55,13:55
2026-06-21,WY,WY 246,16:00,16,DEL-MCT,INTERNATIONAL,Terminal 3,IndiGo,236,189,57,76,57,12:00,13:00,14:00
2026-06-21,RA,RA 218,16:20,16,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,162,130,39,52,39,12:20,13:20,14:20
2026-06-21,EK,EK 517,16:25,16,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,274,219,66,88,66,12:25,13:25,14:25
2026-06-21,IA,IA 444,16:30,16,DEL-BGW,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,12:30,13:30,14:30
2026-06-21,AI,AI 2255,17:25,17,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,362,290,87,116,87,13:25,14:25,15:25
2026-06-21,6E,6E 1161,17:50,17,DEL-KTM,INTERNATIONAL,Terminal 3,IndiGo,164,131,39,52,39,13:50,14:50,15:50
2026-06-21,B4,B4 443,17:55,17,DEL-MLE,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,13:55,14:55,15:55
2026-06-21,NH,NH 838,18:00,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246,197,59,79,59,14:00,15:00,16:00
2026-06-21,AI,AI 358,18:10,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246,197,59,79,59,14:10,15:10,16:10
2026-06-21,IX,IX 163,18:25,18,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,14:25,15:25,16:25
2026-06-21,6E,6E 1169,18:25,18,DEL-CMB,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,14:25,15:25,16:25
2026-06-21,G9,G9 466,18:35,18,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168,134,40,54,40,14:35,15:35,16:35
2026-06-21,AI,AI 2283,18:40,18,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,14:40,15:40,16:40
2026-06-21,UL,UL 196,18:45,18,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,188,150,45,60,45,14:45,15:45,16:45
2026-06-21,SG,SG 5105,18:45,18,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189,151,45,60,45,14:45,15:45,16:45
2026-06-21,KE,KE 498,18:50,18,DEL-ICN,INTERNATIONAL,Terminal 3,BFS,278,222,67,89,67,14:50,15:50,16:50
2026-06-21,JL,JL 030,19:05,19,DEL-HND,INTERNATIONAL,Terminal 3,BFS,239,191,57,76,57,15:05,16:05,17:05
2026-06-21,6E,6E 1463,19:10,19,DEL-DXB,INTERNATIONAL,Terminal 3,IndiGo,220,176,53,70,53,15:10,16:10,17:10
2026-06-21,SV,SV 9651,19:50,19,DEL-MED,INTERNATIONAL,Terminal 3,AISATS,326,261,78,104,78,15:50,16:50,17:50
2026-06-21,MU,MU 564,19:55,19,DEL-PVG,INTERNATIONAL,Terminal 3,BFS,262,210,63,84,63,15:55,16:55,17:55
2026-06-21,6E,6E 063,20:15,20,DEL-KWI,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,16:15,17:15,18:15
2026-06-21,6E,6E 083,20:20,20,DEL-CAN,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,16:20,17:20,18:20
2026-06-21,AI,AI 2145,20:50,20,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,16:50,17:50,18:50
2026-06-21,6E,6E 1083,20:55,20,DEL-DMM,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,16:55,17:55,18:55
2026-06-21,XJ,XJ 231,20:55,20,DEL-DMK,INTERNATIONAL,Terminal 3,BFS,377,302,91,121,91,16:55,17:55,18:55
2026-06-21,6E,6E 1405,21:00,21,DEL-AUH,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,17:00,18:00,19:00
2026-06-21,AI,AI 223,21:15,21,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,17:15,18:15,19:15
2026-06-21,IX,IX 173,21:20,21,DEL-DMM,INTERNATIONAL,Terminal 3,AISATS,327,262,79,105,79,17:20,18:20,19:20
2026-06-21,6E,6E 1307,21:30,21,DEL-DOH,INTERNATIONAL,Terminal 3,IndiGo,180,144,43,58,43,17:30,18:30,19:30
2026-06-21,AI,AI 2386,21:40,21,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,186,149,45,60,45,17:40,18:40,19:40
2026-06-21,AI,AI 101,21:45,21,DEL-FCO-JFK,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,17:45,18:45,19:45
2026-06-21,GF,GF 135,21:50,21,DEL-BAH,INTERNATIONAL,Terminal 3,AISATS,316,253,76,101,76,17:50,18:50,19:50
2026-06-21,SQ,SQ 403,21:55,21,DEL-SIN,INTERNATIONAL,Terminal 3,BFS,150,120,36,48,36,17:55,18:55,19:55
2026-06-21,6E,6E 063,22:00,22,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,471,377,113,151,113,18:00,19:00,20:00
2026-06-21,6E,6E 071,22:00,22,DEL-RUH,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,18:00,19:00,20:00
2026-06-21,OD,OD 206,22:05,22,DEL-KUL,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,18:05,19:05,20:05
2026-06-21,EK,EK 515,22:05,22,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,189,151,45,60,45,18:05,19:05,20:05
2026-06-21,AI,AI 314,22:10,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,18:10,19:10,20:10
2026-06-21,CX,CX 698,22:45,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,18:45,19:45,20:45
2026-06-21,AC,AC 043,22:50,22,DEL-YYZ,INTERNATIONAL,Terminal 3,AISATS,368,294,88,118,88,18:50,19:50,20:50
2026-06-21,CA,CA 948,22:50,22,DEL-PEK,INTERNATIONAL,Terminal 3,BFS,300,240,72,96,72,18:50,19:50,20:50
2026-06-21,AI,AI 2380,23:00,23,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,301,241,72,96,72,19:00,20:00,21:00
2026-06-21,MH,MH 191,23:00,23,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,19:00,20:00,21:00
2026-06-21,D7,D7 183,23:20,23,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,290,232,70,93,70,19:20,20:20,21:20
2026-06-21,AA,AA 293,23:30,23,DEL-JFK,INTERNATIONAL,Terminal 3,BFS,377,302,91,121,91,19:30,20:30,21:30
2026-06-21,TG,TG 316,23:30,23,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,285,228,68,91,68,19:30,20:30,21:30
2026-06-21,VN,VN 980,23:35,23,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,298,238,71,95,71,19:35,20:35,21:35
2026-06-21,UA,UA 083,23:35,23,DEL-EWR,INTERNATIONAL,Terminal 3,AISATS,305,244,73,98,73,19:35,20:35,21:35
